time,latitude,longitude,depth_km,magnitude,magnitude_type,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
1979-04-26T02:00:09.600000Z,-33.82,-71.9,38.0,5.89,Mwc,5.149e+17,1.315e+17,-6.464e+17,1.557e+17,-6.172e+17,-8.55e+16
1979-07-06T02:01:16.100000Z,-32.15,-71.32,45.0,5.75,Mwc,4.916e+17,-2000000000000000.0,-4.896e+17,1.19e+17,1.409e+17,1.65e+16
1979-10-11T08:55:56.100000Z,-33.42,-71.74,41.0,5.37,Mwc,9.57e+16,1.85e+16,-1.142e+17,-1e+16,-9.56e+16,-2.26e+16
1980-06-11T14:21:18.900000Z,-32.72,-71.65,35.0,5.84,Mwc,5.183e+17,8.24e+16,-6.008e+17,-3.37e+16,-4.456e+17,-2.75e+16
1980-07-13T06:20:30.300000Z,-33.47,-70.15,103.0,5.66,Mwc,6.87e+16,-1.682e+17,9.95e+16,-4.32e+16,-3.728e+17,-3.1e+16
1981-03-23T19:28:10.700000Z,-33.66,-71.89,46.0,6.39,Mwc,1.027e+18,-5.4e+17,-4.87e+17,5.85e+17,-4.676e+18,1.14e+17
1981-10-16T03:25:42.100000Z,-33.13,-73.07,32.0,7.07,Mwc,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18
1981-11-07T03:29:50.700000Z,-32.23,-71.37,64.0,6.94,Mwc,-6.7e+17,-7.67e+18,8.34e+18,7.82e+18,-3.122e+19,-2.17e+18
1982-09-06T11:13:26.200000Z,-32.14,-71.46,73.0,5.26,Mwc,-1.786e+16,3.959e+16,-2.173e+16,4.539e+16,-7.859e+16,-1.499e+16
1983-12-15T04:22:28.500000Z,-33.09,-70.28,55.0,6.0,Mwc,-8.194e+17,2.03e+16,7.991e+17,-1.062e+17,-9.358e+17,2.21e+17
1985-02-21T18:53:08.500000Z,-33.28,-71.72,33.0,5.68,Mwc,2.69e+17,8.7e+16,-3.56e+17,8.86e+16,-2.473e+17,-4.98e+16
1985-03-03T22:47:06.900000Z,-33.15,-71.98,33.0,7.94,Mwc,7.48e+20,4.89e+19,-7.969e+20,1.912e+20,-6.55e+20,2.9e+18
1985-03-04T00:32:21.400000Z,-33.23,-71.76,33.0,7.35,Mwc,5.84e+19,-5.5e+18,-5.289e+19,-7.36e+19,9.282e+19,-5.169e+19
1985-03-04T06:06:57.800000Z,-33.58,-71.86,33.0,6.31,Mwc,1.579e+18,7.2e+17,-2.299e+18,-1.231e+18,2.721e+18,-3.16e+17
1985-03-04T13:49:29.600000Z,-33.95,-71.96,33.0,5.71,Mwc,2.775e+17,2.64e+16,-3.04e+17,1.356e+17,-3.308e+17,-3.95e+16
1985-03-04T15:01:06.200000Z,-33.84,-71.32,33.0,6.29,Mwc,2.537e+18,4.36e+17,-2.973e+18,1.97e+17,-2.02e+18,-5.47e+17
1985-03-04T19:03:07.200000Z,-32.75,-71.6,33.0,6.12,Mwc,1.354e+18,3.95e+17,-1.749e+18,2.38e+17,-1.082e+18,-8.6e+16
1985-03-07T00:54:56.900000Z,-33.01,-72.14,33.0,5.44,Mwc,1.529e+17,600000000000000.0,-1.535e+17,3.57e+16,-9.51e+16,6800000000000000.0
1985-03-12T08:23:15.300000Z,-33.1,-72.16,33.0,5.79,Mwc,2.572e+17,3.71e+16,-2.943e+17,9600000000000000.0,-5.297e+17,-9.99e+16
1985-03-17T10:41:37.900000Z,-32.66,-71.56,33.0,6.53,Mwc,6.243e+18,-1.93e+17,-6.05e+18,4.93e+17,-4.835e+18,5.09e+17
1985-03-19T04:01:06.500000Z,-33.28,-71.76,33.0,6.64,Mwc,8.667e+18,-2.99e+17,-8.368e+18,7.19e+17,-7.813e+18,7.49e+17
1985-03-23T14:36:57.000000Z,-33.3,-72.22,33.0,5.54,Mwc,2.248e+17,3.62e+16,-2.61e+17,7.67e+16,-1.97e+16,1.32e+16
1985-04-03T13:06:19.800000Z,-32.62,-71.61,33.0,6.09,Mwc,1.098e+18,-4e+16,-1.057e+18,-4.66e+17,-1.211e+18,-4.11e+17
1985-04-15T04:41:50.500000Z,-33.53,-72.02,33.0,5.52,Mwc,1.218e+17,2.55e+16,-1.473e+17,4.77e+16,-1.908e+17,-2.25e+16
1985-04-28T02:53:44.100000Z,-33.07,-71.49,60.0,5.61,Mwc,2.102e+17,1.82e+16,-2.284e+17,2.5e+16,-2.369e+17,-3300000000000000.0
